"","taxa","count","family","genus","species"
"4826","Empetrum",9200,"Ericaceae","Empetrum",""
"6898","Juniperus communis",9143,"Cupressaceae","Juniperus","communis"
"11420","Selaginella selaginoides",9124,"Selaginellaceae","Selaginella","selaginoides"
"7540","Lycopodium clavatum",8968,"Lycopodiaceae","Lycopodium","clavatum"
"9818","Polypodiaceae undiff.",8930,"Polypodiaceae","",""
"124","Achillea-type",8838,"Asteraceae","Achillea",""
"6727","Indeterminable undiff.",8818,NA,NA,NA
"6312","Hedera helix",8782,"Araliaceae","Hedera","helix"
"4988","Ericaceae undiff.",8585,"Ericaceae","",""
"335","Alchornea",8523,"Euphorbiaceae","Alchornea",""
"9363","Pinus strobus",8503,"Pinaceae","Pinus","strobus"
"10960","Rumex-type",8478,"Polygonaceae","Rumex",""
"537","Amaranthaceae-type",8408,"Amaranthaceae","",""
"9403","Pistacia",8405,"Anacardiaceae","Pistacia",""
"5660","Fraxinus nigra",8260,"Oleaceae","Fraxinus","nigra"
"9714","Pollen concentration",8216,NA,NA,NA
"7923","Mentha-type",8006,"Lamiaceae","Mentha",""
"4684","Dryopteris",7997,"Dryopteridaceae","Dryopteris",""
"6860","Juglans cinerea",7948,"Juglandaceae","Juglans","cinerea"
"11150","Sarcobatus vermiculatus",7945,"Sarcobataceae","Sarcobatus","vermiculatus"
"5661","Fraxinus nigra-type",7850,"Oleaceae","Fraxinus","nigra"
"5092","Eucalyptus suspension",7797,"Myrtaceae","Eucalyptus",""
"10553","Ranunculus-type",7794,"Ranunculaceae","Ranunculus",""
"10399","Quercus (deciduous)",7782,"Fagaceae","Quercus",""
"2358","Centaurea",7759,"Asteraceae","Centaurea",""
"13540","Viburnum",7643,"Viburnaceae","Viburnum",""
"9920","Polypodiophyta undiff.",7636,NA,NA,NA
"11391","Selaginella",7400,"Selaginellaceae","Selaginella",""
"10187","Pseudopediastrum boryanum",7395,NA,NA,NA
"12700","Typha angustifolia",7392,"Typhaceae","Typha","angustifolia"
"11882","Spike tablets",7390,NA,NA,NA
"10300","Pteridophyta (monolete) undiff.",7372,NA,NA,NA
"11012","Sagittaria",7347,"Alismataceae","Sagittaria",""
"6623","Hypericum",7255,"Hypericaceae","Hypericum",""
"747","Anthemis-type",7223,"Asteraceae","Anthemis",""
"55","Acalypha",7194,"Euphorbiaceae","Acalypha",""
"1844","Bryales",7190,"","",""
"11452","Senecio-type",7188,"Asteraceae","Senecio",""
"471","Alnus viridis-type",7137,"Betulaceae","Alnus","alnobetula"
"4891","Ephedra fragilis-type",7098,"Ephedraceae","Ephedra","fragilis"
"6463","Hippophaë",7055,"Elaeagnaceae","Hippophae",""
"13436","Valeriana",7050,"Caprifoliaceae","Valeriana",""
"454","Alnus incana-type",6969,"Betulaceae","Alnus","incana"
"8535","Nyssa",6936,"Nyssaceae","Nyssa",""
"9236","Picea undiff.",6794,"Pinaceae","Picea",""
"2218","Caryophyllaceae undiff.",6752,"Caryophyllaceae","",""
"10905","Rumex acetosella-type",6732,"Polygonaceae","Rumex","acetosella"
"6710","Indeterminable (corroded)",6711,NA,NA,NA
"5633","Frangula alnus",6642,"Rhamnaceae","Frangula","alnus"
"9482","Plantago major/P. media",6547,"Plantaginaceae","Plantago",""
"10903","Rumex acetosella",6532,"Polygonaceae","Rumex","acetosella"
"4886","Ephedra distachya-type",6465,"Ephedraceae","Ephedra","distachya"
"7347","Liquidambar",6449,"Altingiaceae","Liquidambar",""
"11846","Spermatophyta undiff. (cf. upland herbs)",6432,NA,NA,NA
"7927","Menyanthes trifoliata",6412,"Menyanthaceae","Menyanthes","trifoliata"
"10017","Potamogetonaceae",6382,"Potamogetonaceae","",""
"11694","Sorbus-type",6375,"Rosaceae","Sorbus",""
"9478","Plantago major",6356,"Plantaginaceae","Plantago","major"
"9118","Phillyrea",6331,"Oleaceae","Phillyrea",""
"9759","Polygonum",6314,"Polygonaceae","Polygonum",""
"462","Alnus undiff.",6297,"Betulaceae","Alnus",""
"8003","Microsphere suspension",6273,NA,NA,NA
"13431","Vaccinium-type",6211,"Ericaceae","Vaccinium",""
"12648","Triticum-type",6145,"Poaceae","Triticum",""
"6500","Hordeum-type",6124,"Poaceae","Hordeum",""
"9761","Polygonum aviculare",6121,"Polygonaceae","Polygonum","aviculare"
"8311","Myriophyllum spicatum",6075,"Haloragaceae","Myriophyllum","spicatum"
"12370","Tilia cordata",6058,"Malvaceae","Tilia","cordata"
"7620","Lythrum",6017,"Lythraceae","Lythrum",""
"10637","Rhamnus",6014,"Rhamnaceae","Rhamnus",""
"4915","Epilobium",6006,"Onagraceae","Epilobium",""
"2253","Castanea sativa",5992,"Fagaceae","Castanea","sativa"
"5316","Euphorbia",5971,"Euphorbiaceae","Euphorbia",""
"1574","Betula undiff.",5968,"Betulaceae","Betula",""
"10896","Rumex acetosa",5936,"Polygonaceae","Rumex","acetosa"
"12715","Typha latifolia-type",5925,"Typhaceae","Typha","latifolia"
"8342","Myrtaceae",5922,"Myrtaceae","",""
"13414","Vaccinium",5858,"Ericaceae","Vaccinium",""
"12725","Typhaceae",5850,"Typhaceae","",""
"12217","Taxus baccata",5836,"Taxaceae","Taxus","baccata"
"703","Angiospermae undiff. (herbs)",5825,NA,NA,NA
"1550","Betula nana",5783,"Betulaceae","Betula","nana"
"5445","Fabaceae undiff.",5750,"Fabaceae","",""
"6465","Hippophaë rhamnoides",5716,"Elaeagnaceae","Hippophae","rhamnoides"
"11078","Sambucus",5671,"Viburnaceae","Sambucus",""
"12329","Thelypteris palustris",5630,"Thelypteridaceae","Thelypteris","palustris"
"12672","Tsuga heterophylla",5618,"Pinaceae","Tsuga","heterophylla"
"10427","Quercus ilex",5528,"Fagaceae","Quercus","ilex"
"6540","Huperzia selago",5507,"Lycopodiaceae","Huperzia","selago"
"2021","Caltha-type",5493,"Ranunculaceae","Caltha",""
"8150","Monoletes",5460,NA,NA,NA
"8300","Myriophyllum alterniflorum",5443,"Haloragaceae","Myriophyllum","alterniflorum"
"5665","Fraxinus pennsylvanica-type",5424,"Oleaceae","Fraxinus","pennsylvanica"
"6726","Indeterminable (unknown)",5418,NA,NA,NA
"11217","Saxifragaceae",5372,"Saxifragaceae","",""
"6316","Hedyosmum",5370,"Chloranthaceae","Hedyosmum",""
"10013","Potamogeton-type",5355,"Potamogetonaceae","Potamogeton",""
"12722","Typha/Sparganium",5351,"Typhaceae",NA,""
"8739","Ostrya",5338,"Betulaceae","Ostrya",""
"5662","Fraxinus ornus",5323,"Oleaceae","Fraxinus","ornus"
"4993","Ericales undiff.",5268,"","",""
"9492","Plantago media",5074,"Plantaginaceae","Plantago","media"
"2370","Centaurea cyanus",5045,"Asteraceae","Centaurea","cyanus"
"10039","Poterium sanguisorba",5042,"Rosaceae","Sanguisorba","minor"
"10287","Pteridium-type",5021,"Dennstaedtiaceae","Pteridium",""
"9763","Polygonum aviculare-type",5017,"Polygonaceae","Polygonum","aviculare"
"13382","Urticaceae/Moraceae",5003,NA,"",""
"5670","Fraxinus undiff.",4889,"Oleaceae","Fraxinus",""
"11370","Secale cereale",4889,"Poaceae","Secale","cereale"
"12702","Typha angustifolia/Sparganium",4835,"Typhaceae",NA,""
"7168","Lemna",4827,"Araceae","Lemna",""
"13341","Unknown undiff.",4815,NA,NA,NA
"9825","Polypodiales (monolete)",4767,"","",""
"9516","Plantago undiff.",4761,"Plantaginaceae","Plantago",""
"4560","Dipsacoideae",4712,NA,NA,NA
"10958","Rumex undiff.",4693,"Polygonaceae","Rumex",""
"4699","Dryopteris filix-mas-type",4646,NA,"Dryopteris",""
"8520","Nymphaeaceae",4556,"Nymphaeaceae","",""
"3501","Cirsium-type",4539,"Asteraceae","Cirsium",""
"7926","Menyanthes",4510,"Menyanthaceae","Menyanthes",""
"4936","Erica",4479,"Ericaceae","Erica",""
"9937","Polypodium vulgare",4400,"Polypodiaceae","Polypodium","vulgare"
"6223","Gymnocarpium dryopteris",4374,"Cystopteridaceae","Gymnocarpium","dryopteris"
"1923","Buxus",4339,"Buxaceae","Buxus",""
"11940","Sporormiella",4331,NA,NA,NA
"6047","Geranium",4303,"Geraniaceae","Geranium",""
"6519","Humulus",4298,"Cannabaceae","Humulus",""
"2044","Campanula",4277,"Campanulaceae","Campanula",""
"12610","Triletes",4275,NA,NA,NA
"9747","Polygonaceae",4268,"Polygonaceae","",""
"8004","Microspheres",4260,NA,NA,NA
"5695","Fungi",4243,NA,NA,NA
"9303","Pinus banksiana/P. resinosa",4243,"Pinaceae","Pinus",""
"2305","Cedrus",4242,"Pinaceae","Cedrus",""
"8726","Osmunda regalis",4224,"Osmundaceae","Osmunda","regalis"
"13614","Viscum",4224,"Santalaceae","Viscum",""
"1325","Athyrium filix-femina",4210,NA,"Athyrium",""
"11055","Salix undiff.",4153,"Salicaceae","Salix",""
"8742","Ostrya-type",4141,"Betulaceae","Ostrya",""
"13656","Weinmannia",4128,"Cunoniaceae","Weinmannia",""
"11102","Sanguisorba officinalis",4078,"Rosaceae","Sanguisorba","officinalis"
"9624","Poaceae (Cerealia) undiff.",4077,"Poaceae","",""
"12673","Tsuga mertensiana",4062,"Pinaceae","Tsuga","mertensiana"
"9085","Peucedanum-type",4061,"Apiaceae","Peucedanum",""
"10208","Pseudotsuga",4058,"Pinaceae","Pseudotsuga",""
"11626","Solanaceae",4035,"Solanaceae","",""
"119","Acer undiff.",4019,"Sapindaceae","Acer",""
"2157","Carex-type",4015,"Cyperaceae","Carex",""
"12667","Tsuga canadensis",4012,"Pinaceae","Tsuga","canadensis"
"11684","Sorbus",3983,"Rosaceae","Sorbus",""
"7823","Matricaria-type",3925,"Asteraceae","Matricaria",""
"6910","Juniperus/Thuja",3898,NA,NA,""
"11149","Sarcobatus",3891,"Sarcobataceae","Sarcobatus",""
"8331","Myrsine",3815,"Primulaceae","Myrsine",""
"9852","Polypodiophyta (monolete, psilate)",3796,NA,NA,NA
"114","Acer saccharum-type",3784,"Sapindaceae","Acer","saccharum"
"4593","Dodonaea",3777,"Sapindaceae","Dodonaea",""
"10299","Pteridophyta (monolete)",3774,NA,NA,NA
"10079","Primulaceae",3758,"Primulaceae","",""
"6018","Gentianaceae",3747,"Gentianaceae","",""
"8280","Myrica gale",3682,"Myricaceae","Myrica","gale"
"9446","Plantago alpina-type",3660,"Plantaginaceae","Plantago","alpina"
"12876","Unknown (monolete, psilate)",3660,NA,NA,NA
"5465","Faboideae",3651,NA,NA,NA
"3335","Chaerophyllum hirsutum-type",3607,"Apiaceae","Chaerophyllum","hirsutum"
"464","Alnus viridis subsp. crispa",3599,"Betulaceae","Alnus",""
"2298","Cecropia",3580,"Urticaceae","Cecropia",""
"6569","Hydrocotyle",3530,"Araliaceae","Hydrocotyle",""
"5069","Eucalyptus",3517,"Myrtaceae","Eucalyptus",""
"10624","Rhamnaceae",3517,"Rhamnaceae","",""
"6707","Indeterminable (broken)",3510,NA,NA,NA
"7572","Lycopodium-type",3481,"Lycopodiaceae","Lycopodium",""
"4146","Cyathea",3478,"Cyatheaceae","Cyathea",""
"10407","Quercus cerris-type",3465,"Fagaceae","Quercus","cerris"
"7874","Melastomataceae",3443,"Melastomataceae","",""
"9976","Populus tremuloides-type",3424,"Salicaceae","Populus","tremuloides"
"4500","Dinoflagellata",3419,NA,NA,NA
"10544","Ranunculus sect. Batrachium",3411,"Ranunculaceae","Ranunculus",""
"11203","Saxifraga oppositifolia-type",3354,"Saxifragaceae","Saxifraga","oppositifolia"
"13342","Unknown/Indeterminable",3344,NA,NA,NA
"6865","Juglans regia",3336,"Juglandaceae","Juglans","regia"
"10453","Quercus undiff.",3333,"Fagaceae","Quercus",""
"9302","Pinus banksiana-type",3331,"Pinaceae","Pinus","banksiana"
"3494","Cirsium",3326,"Asteraceae","Cirsium",""
"13399","Ustulina deusta",3319,NA,NA,NA
"13375","Urtica-type",3258,"Urticaceae","Urtica",""
"11","Abies balsamea",3256,"Pinaceae","Abies","balsamea"
"7492","Lycopodiaceae",3252,"Lycopodiaceae","",""
"1852","Bryophyta",3250,"","",""
"11098","Sanguisorba",3242,"Rosaceae","Sanguisorba",""
"8745","Ostrya/Carpinus orientalis",3213,"Betulaceae",NA,""
"7410","Lonicera",3192,"Caprifoliaceae","Lonicera",""
"11175","Saxifraga",3172,"Saxifragaceae","Saxifraga",""
"1568","Betula sect. Betula",3171,"Betulaceae","Betula",""
"1361","Author's pollen sum",3159,NA,NA,NA
"5343","Euphorbiaceae",3156,"Euphorbiaceae","",""
"7594","Lysimachia",3151,"Primulaceae","Lysimachia",""
"11382","Sedum",3148,"Crassulaceae","Sedum",""
"6711","Indeterminable (crumpled)",3141,NA,NA,NA
"12371","Tilia cordata-type",3141,"Malvaceae","Tilia","cordata"
"3556","Cladium mariscus",3127,"Cyperaceae","Cladium","mariscus"
"10309","Pteris",3127,"Pteridaceae","Pteris",""
"1696","Boraginaceae",3124,"Boraginaceae","",""
"11903","Spirogyra",3112,NA,NA,NA
"4989","Ericaceae-type",3110,"Ericaceae","",""
"9221","Picea glauca",3096,"Pinaceae","Picea","glauca"
"2375","Centaurea jacea-type",3085,"Asteraceae","Centaurea","jacea"
"6638","Hypericum perforatum-type",3084,"Hypericaceae","Hypericum","perforatum"
"401","Alisma",3074,"Alismataceae","Alisma",""
"9225","Picea mariana-type",3049,"Pinaceae","Picea","mariana"
"3880","Cornus",3048,"Cornaceae","Cornus",""
"10137","Prunus",3037,"Rosaceae","Prunus",""
"6520","Humulus lupulus",3025,"Cannabaceae","Humulus","lupulus"
"7509","Lycopodiaceae undiff.",3011,"Lycopodiaceae","",""
"12592","Trifolium-type",3005,"Fabaceae","Trifolium",""
"24","Acacia",2994,"Fabaceae","Acacia",""
"7933","Mercurialis annua",2979,"Euphorbiaceae","Mercurialis","annua"
"5004","Eriogonum",2974,"Polygonaceae","Eriogonum",""
"4938","Erica arborea-type",2966,"Ericaceae","Erica","arborea"
"7460","Lotus-type",2950,"Fabaceae","Lotus",""
"6712","Indeterminable (degraded)",2941,NA,NA,NA
"1789","Brassicaceae undiff.",2939,"Brassicaceae","",""
"7932","Mercurialis",2924,"Euphorbiaceae","Mercurialis",""
"10582","Residue",2890,NA,NA,NA
"10901","Rumex acetosa/R. acetosella-type",2876,"Polygonaceae","Rumex",""
"10198","Pseudopediastrum integrum",2874,NA,NA,NA
"2435","Cephalanthus",2856,"Rubiaceae","Cephalanthus",""
"7636","Macaranga",2855,"Euphorbiaceae","Macaranga",""
"1559","Betula pubescens",2854,"Betulaceae","Betula","pubescens"
"11502","Shepherdia canadensis",2842,"Elaeagnaceae","Shepherdia","canadensis"
"12973","Unknown (trilete, psilate)",2835,NA,NA,NA
"10160","Prunus-type",2831,"Rosaceae","Prunus",""
"1616","Bistorta officinalis",2827,"Polygonaceae","Persicaria","bistorta"
"10863","Rubus",2813,"Rosaceae","Rubus",""
"6863","Juglans nigra",2808,"Juglandaceae","Juglans","nigra"
"8610","Onagraceae",2785,"Onagraceae","",""
"12899","Unknown (monolete) undiff.",2775,NA,NA,NA
"12475","Trema",2771,"Cannabaceae","Trema",""
"12701","Typha angustifolia-type",2762,"Typhaceae","Typha","angustifolia"
"9483","Plantago major/P. media-type",2759,"Plantaginaceae","Plantago",""
"2385","Centaurea nigra-type",2757,"Asteraceae","Centaurea","nigra"
"4358","Daucus carota",2755,"Apiaceae","Daucus","carota"
"2086","Cannabis sativa",2753,"Cannabaceae","Cannabis","sativa"
"12330","Thelypteris palustris-type",2738,"Thelypteridaceae","Thelypteris","palustris"
"8489","Number of lines",2729,NA,NA,NA
"11648","Solanum dulcamara",2727,"Solanaceae","Solanum","dulcamara"
"10289","Pteridophyta",2723,NA,NA,NA
"12987","Unknown (trilete) undiff.",2720,NA,NA,NA
"13401","Utricularia",2704,"Lentibulariaceae","Utricularia",""
"8316","Myriophyllum verticillatum",2683,"Haloragaceae","Myriophyllum","verticillatum"
"8943","Pediastrum duplex",2663,NA,NA,NA
"9224","Picea mariana",2658,"Pinaceae","Picea","mariana"
"9313","Pinus contorta-type",2653,"Pinaceae","Pinus","contorta"
"410","Alismataceae",2651,"Alismataceae","",""
"3941","Corylus/Myrica",2649,NA,NA,""
"3407","Chenopodium-type",2636,"Amaranthaceae","Chenopodium",""
"8651","Ophioglossum",2631,"Ophioglossaceae","Ophioglossum",""
"9866","Polypodiophyta (monolete, verrucate)",2627,NA,NA,NA
"7260","Ligustrum",2620,"Oleaceae","Ligustrum",""
"10584","Restionaceae",2610,"Restionaceae","",""
"3940","Corylus-type",2597,"Betulaceae","Corylus",""
"8583","Olea europaea",2596,"Oleaceae","Olea","europaea"
"11664","Solidago-type",2589,"Asteraceae","Solidago",""
"4697","Dryopteris filix-mas",2579,NA,"Dryopteris",""
"10401","Quercus (evergreen)",2577,"Fagaceae","Quercus",""
"103","Acer negundo",2574,"Sapindaceae","Acer","negundo"
"12075","Succisa",2571,"Caprifoliaceae","Succisa",""
"6116","Glomus",2568,NA,NA,NA
"3723","Combretaceae",2562,"Combretaceae","",""
"959","Arceuthobium",2553,"Santalaceae","Arceuthobium",""
"9470","Plantago coronopus-type",2550,"Plantaginaceae","Plantago","coronopus"
"10332","Pterocarya",2548,"Juglandaceae","Pterocarya",""
"6808","Isoëtes lacustris",2542,"Isoetaceae","Isoetes","lacustris"
"11418","Selaginella rupestris",2532,"Selaginellaceae","Selaginella","rupestris"
"10900","Rumex acetosa/R. acetosella",2530,"Polygonaceae","Rumex",""
"1364","Avena-type",2522,"Poaceae","Avena",""
"7745","Malvaceae",2517,"Malvaceae","",""
"2393","Centaurea solstitialis-type",2510,"Asteraceae","Centaurea","solstitialis"
"5632","Frangula",2501,"Rhamnaceae","Frangula",""
"673","Anemone-type",2500,"Ranunculaceae","Anemone",""
"9484","Plantago maritima",2488,"Plantaginaceae","Plantago","maritima"
"13476","Valerianoideae",2470,NA,NA,NA
"6398","Heracleum",2466,"Apiaceae","Heracleum",""
"3726","Combretaceae/Melastomataceae",2444,NA,"",""
"11448","Senecio",2419,"Asteraceae","Senecio",""
"12175","Tamarix",2406,"Tamaricaceae","Tamarix",""
"10697","Rhus",2383,"Anacardiaceae","Rhus",""
"5982","Genista-type",2369,"Fabaceae","Genista",""
"6525","Humulus/Cannabis-type",2368,"Cannabaceae",NA,""
"1048","Armeria",2362,"Plumbaginaceae","Armeria",""
"11084","Sambucus nigra",2362,"Viburnaceae","Sambucus","nigra"
"2076","Cannabaceae",2348,"Cannabaceae","",""
"2457","Cerastium-type",2333,"Caryophyllaceae","Cerastium",""
"1590","Bidens-type",2330,"Asteraceae","Bidens",""
"4884","Ephedra distachya",2328,"Ephedraceae","Ephedra","distachya"
"1777","Brasenia schreberi",2310,"Cabombaceae","Brasenia","schreberi"
"4707","Dryopteris/Thelypteris",2309,NA,NA,""
"5553","Ficus",2309,"Moraceae","Ficus",""
"1566","Betula sect. Apterocaryon",2288,"Betulaceae","Betula",""
"12585","Trifolium repens-type",2288,"Fabaceae","Trifolium","repens"
"466","Alnus viridis subsp. fruticosa",2279,"Betulaceae","Alnus",""
"10872","Rubus chamaemorus",2278,"Rosaceae","Rubus","chamaemorus"
