taxa,count,family,genus,species,corrected
Fraxinus excelsior,24867,Oleaceae,Fraxinus,excelsior,
Rosaceae undiff.,24547,Rosaceae,,,
Unknown (trilete),24536,NA,NA,NA,
Asteraceae,23821,Asteraceae,,,
Nymphaea,23458,Nymphaeaceae,Nymphaea,,
Calluna,23077,Ericaceae,Calluna,,
Carpinus betulus,23031,Betulaceae,Carpinus,betulus,
Tsuga,22810,Pinaceae,Tsuga,,
Isoëtes,22715,Isoetaceae,Isoetes,NA,TRUE
Cyperaceae undiff.,21440,Cyperaceae,,,
Lamiaceae,21327,Lamiaceae,,,
Pinus subg. Strobus,20977,Pinaceae,Pinus,NA,TRUE
Typha latifolia,20696,Typhaceae,Typha,latifolia,
Poaceae (Cerealia-type),20234,Poaceae,,,
Juglans,20021,Juglandaceae,Juglans,,
Asteraceae undiff.,20005,Asteraceae,,,
Potentilla-type,19947,NA,NA,NA,
Helianthemum,19405,Cistaceae,Helianthemum,,
Rumex acetosa-type,19279,Polygonaceae,Rumex,,
Myriophyllum,19146,Haloragaceae,Myriophyllum,,
Hedera,18393,Araliaceae,Hedera,,
Ambrosia-type,18105,Asteraceae,Ambrosia,NA,TRUE
Plantago lanceolata-type,17939,Plantaginaceae,Plantago,,
Quercus robur-type,17781,Fagaceae,Quercus,,
Sparganium-type,17478,Poaceae,Sparganium,NA,
Picea abies,17445,Pinaceae,Picea,abies,
Nuphar,16820,Nymphaeaceae,Nuphar,,
Ranunculus acris-type,16669,Ranunculaceae,Ranunculus,,
Eucalyptus spike,16612,Myrtaceae,Eucalyptus,,
Galium-type,16570,Rubiaceae,Galium,NA,TRUE
Fagus sylvatica,16218,Fagaceae,Fagus,sylvatica,
Pinus sylvestris,15849,Pinaceae,Pinus,sylvestris,
Typha,15845,Typhaceae,Typha,,
Ilex,15824,Aquifoliaceae,Ilex,,
Poaceae (Cerealia),15760,Poaceae,,,
Vitis,15180,Vitaceae,Vitis,,
Acer saccharum,14693,Sapindaceae,Acer,saccharum,
Alnus glutinosa-type,14402,Betulaceae,Alnus,,
Pinus sylvestris-type,14099,Pinaceae,Pinus,,
Amaranthaceae undiff.,13545,Amaranthaceae,,,
Sparganium,13517,Typhaceae,Sparganium,,
Lycopodium annotinum,13225,Lycopodiaceae,Lycopodium,annotinum,
Castanea,13217,Fagaceae,Castanea,,
Platanus,13197,Platanaceae,Platanus,,
Apiaceae undiff.,13161,Apiaceae,,,
Scrophulariaceae,13104,Scrophulariaceae,,,
Osmunda,12891,Osmundaceae,Osmunda,,
Lycopodium,12867,Lycopodiaceae,Lycopodium,,
Podocarpus,12820,Podocarpaceae,Podocarpus,,
Olea,12723,Oleaceae,Olea,,
Polypodiophyta,12577,NA,NA,NA,
Ericales,12440,,,,
Alnus viridis,12328,Betulaceae,Alnus,alnobetula,
Melampyrum,12095,Orobanchaceae,Melampyrum,,
Celtis,11908,Cannabaceae,Celtis,,
Ranunculaceae undiff.,11750,Ranunculaceae,,,
Liliaceae,11657,Liliaceae,,,
Abies alba,11590,Pinaceae,Abies,alba,
Aster-type,11390,Asteraceae,Aster,NA,TRUE
Humulus/Cannabis,11039,Cannabaceae,NA,,
Ranunculus,11023,Ranunculaceae,Ranunculus,,
Juniperus-type,10809,Cupressaceae,Juniperus,NA,TRUE
Taxus,10745,Taxaceae,Taxus,,
Ephedra,10742,Ephedraceae,Ephedra,,
Botrychium,10729,Ophioglossaceae,Botrychium,,
Potentilla,10555,Rosaceae,Potentilla,,
Polypodiophyta (monolete) undiff.,10450,NA,NA,NA,
Eucalyptus tablets,10381,Myrtaceae,Eucalyptus,,
Fraxinus excelsior-type,10371,Oleaceae,Fraxinus,,
Secale,10164,Poaceae,Secale,,
Galium,10001,Rubiaceae,Galium,,
Campanulaceae,9954,Campanulaceae,,,
Urticaceae,9847,Urticaceae,,,
Quercus ilex-type,9501,Fagaceae,Quercus,ilex,TRUE
Alnus glutinosa,9456,Betulaceae,Alnus,glutinosa,
Pinus cembra,9395,Pinaceae,Pinus,cembra,
Acer rubrum,9344,Sapindaceae,Acer,rubrum,
Alnus incana,9250,Betulaceae,Alnus,incana,
Empetrum,9200,Ericaceae,Empetrum,,
Juniperus communis,9143,Cupressaceae,Juniperus,communis,
Selaginella selaginoides,9124,Selaginellaceae,Selaginella,selaginoides,
Lycopodium clavatum,8968,Lycopodiaceae,Lycopodium,clavatum,
Polypodiaceae undiff.,8930,Polypodiaceae,,,
Achillea-type,8838,Asteraceae,Achillea,NA,
Indeterminable undiff.,8818,NA,NA,NA,
Hedera helix,8782,Araliaceae,Hedera,helix,
Ericaceae undiff.,8585,Ericaceae,,,
Alchornea,8523,Euphorbiaceae,Alchornea,,
Pinus strobus,8503,Pinaceae,Pinus,strobus,
Rumex-type,8478,Polygonaceae,Rumex,NA,
Amaranthaceae-type,8408,Amaranthaceae,NA,NA,
Pistacia,8405,Anacardiaceae,Pistacia,,
Fraxinus nigra,8260,Oleaceae,Fraxinus,nigra,
Pollen concentration,8216,NA,NA,NA,
Mentha-type,8006,NA,NA,NA,
Dryopteris,7997,Dryopteridaceae,Dryopteris,,
Juglans cinerea,7948,Juglandaceae,Juglans,cinerea,
Sarcobatus vermiculatus,7945,Sarcobataceae,Sarcobatus,vermiculatus,
Fraxinus nigra-type,7850,Oleaceae,Fraxinus,,
Eucalyptus suspension,7797,Myrtaceae,Eucalyptus,,
Ranunculus-type,7794,NA,NA,NA,
Quercus (deciduous),7782,Fagaceae,Quercus,,
Centaurea,7759,Asteraceae,Centaurea,,
Viburnum,7643,Viburnaceae,Viburnum,,
Polypodiophyta undiff.,7636,NA,NA,NA,
Selaginella,7400,Selaginellaceae,Selaginella,,
Pseudopediastrum boryanum,7395,NA,NA,NA,
Typha angustifolia,7392,Typhaceae,Typha,angustifolia,
Spike tablets,7390,NA,NA,NA,
Pteridophyta (monolete) undiff.,7372,NA,NA,NA,
Sagittaria,7347,Alismataceae,Sagittaria,,
Hypericum,7255,Hypericaceae,Hypericum,,
Anthemis-type,7223,NA,NA,NA,
Acalypha,7194,Euphorbiaceae,Acalypha,,
Bryales,7190,,,,
Senecio-type,7188,NA,NA,NA,
Alnus viridis-type,7137,Betulaceae,Alnus,,
Ephedra fragilis-type,7098,Ephedraceae,Ephedra,,
Hippophaë,7055,NA,NA,NA,
Valeriana,7050,Caprifoliaceae,Valeriana,,
Alnus incana-type,6969,Betulaceae,Alnus,,
Nyssa,6936,Nyssaceae,Nyssa,,
Picea undiff.,6794,NA,NA,NA,
Caryophyllaceae undiff.,6752,Caryophyllaceae,,,
Rumex acetosella-type,6732,Polygonaceae,Rumex,,
Indeterminable (corroded),6711,NA,NA,NA,
Frangula alnus,6642,Rhamnaceae,Frangula,alnus,
Plantago major/P. media,6547,Plantaginaceae,Plantago,,
Rumex acetosella,6532,Polygonaceae,Rumex,acetosella,
Ephedra distachya-type,6465,Ephedraceae,Ephedra,,
Liquidambar,6449,Altingiaceae,Liquidambar,,
Spermatophyta undiff. (cf. upland herbs),6432,NA,NA,NA,
Menyanthes trifoliata,6412,Menyanthaceae,Menyanthes,trifoliata,
Potamogetonaceae,6382,Potamogetonaceae,,,
Sorbus-type,6375,NA,NA,NA,
Plantago major,6356,Plantaginaceae,Plantago,major,
Phillyrea,6331,Oleaceae,Phillyrea,,
Polygonum,6314,Polygonaceae,Polygonum,,
Alnus undiff.,6297,Betulaceae,Alnus,,
Microsphere suspension,6273,NA,NA,NA,
Vaccinium-type,6211,NA,NA,NA,
Triticum-type,6145,NA,NA,NA,
Hordeum-type,6124,NA,NA,NA,
Polygonum aviculare,6121,Polygonaceae,Polygonum,aviculare,
Myriophyllum spicatum,6075,Haloragaceae,Myriophyllum,spicatum,
Tilia cordata,6058,Malvaceae,Tilia,cordata,
Lythrum,6017,Lythraceae,Lythrum,,
Rhamnus,6014,Rhamnaceae,Rhamnus,,
Epilobium,6006,Onagraceae,Epilobium,,
Castanea sativa,5992,Fagaceae,Castanea,sativa,
Euphorbia,5971,Euphorbiaceae,Euphorbia,,
Betula undiff.,5968,Betulaceae,Betula,,
Rumex acetosa,5936,Polygonaceae,Rumex,acetosa,
Typha latifolia-type,5925,Typhaceae,Typha,,
Myrtaceae,5922,Myrtaceae,,,
Vaccinium,5858,Ericaceae,Vaccinium,,
Typhaceae,5850,Typhaceae,,,
Taxus baccata,5836,Taxaceae,Taxus,baccata,
Angiospermae undiff. (herbs),5825,NA,NA,NA,
Betula nana,5783,Betulaceae,Betula,nana,
Fabaceae undiff.,5750,Fabaceae,,,
Hippophaë rhamnoides,5716,NA,NA,NA,
Sambucus,5671,Viburnaceae,Sambucus,,
Thelypteris palustris,5630,Thelypteridaceae,Thelypteris,palustris,
Tsuga heterophylla,5618,Pinaceae,Tsuga,heterophylla,
Quercus ilex,5528,Fagaceae,Quercus,ilex,
Huperzia selago,5507,Lycopodiaceae,Huperzia,selago,
Caltha-type,5493,NA,NA,NA,
Monoletes,5460,NA,NA,NA,
Myriophyllum alterniflorum,5443,Haloragaceae,Myriophyllum,alterniflorum,
Fraxinus pennsylvanica-type,5424,Oleaceae,Fraxinus,,
Indeterminable (unknown),5418,NA,NA,NA,
Saxifragaceae,5372,Saxifragaceae,,,
Hedyosmum,5370,Chloranthaceae,Hedyosmum,,
Potamogeton-type,5355,NA,NA,NA,
Typha/Sparganium,5351,Typhaceae,NA,,
Ostrya,5338,Betulaceae,Ostrya,,
Fraxinus ornus,5323,Oleaceae,Fraxinus,ornus,
Ericales undiff.,5268,,,,
Plantago media,5074,Plantaginaceae,Plantago,media,
Centaurea cyanus,5045,Asteraceae,Centaurea,cyanus,
Poterium sanguisorba,5042,Rosaceae,Sanguisorba,minor,
Pteridium-type,5021,NA,NA,NA,
Polygonum aviculare-type,5017,Polygonaceae,Polygonum,,
Urticaceae/Moraceae,5003,NA,,,
Fraxinus undiff.,4889,Oleaceae,Fraxinus,,
Secale cereale,4889,Poaceae,Secale,cereale,
Typha angustifolia/Sparganium,4835,NA,NA,NA,
Lemna,4827,Araceae,Lemna,,
Unknown undiff.,4815,NA,NA,NA,
Polypodiales (monolete),4767,,,,
Plantago undiff.,4761,Plantaginaceae,Plantago,,
Dipsacoideae,4712,NA,NA,NA,
Rumex undiff.,4693,Polygonaceae,Rumex,,
Dryopteris filix-mas-type,4646,NA,NA,NA,
Nymphaeaceae,4556,Nymphaeaceae,,,
Cirsium-type,4539,NA,NA,NA,
Menyanthes,4510,Menyanthaceae,Menyanthes,,
Erica,4479,Ericaceae,Erica,,
Polypodium vulgare,4400,Polypodiaceae,Polypodium,vulgare,
Gymnocarpium dryopteris,4374,Cystopteridaceae,Gymnocarpium,dryopteris,
Buxus,4339,Buxaceae,Buxus,,
Sporormiella,4331,NA,NA,NA,
Geranium,4303,Geraniaceae,Geranium,,
Humulus,4298,Cannabaceae,Humulus,,
Campanula,4277,Campanulaceae,Campanula,,
Triletes,4275,NA,NA,NA,
Polygonaceae,4268,Polygonaceae,,,
Microspheres,4260,NA,NA,NA,
Fungi,4243,NA,NA,NA,
Pinus banksiana/P. resinosa,4243,Pinaceae,Pinus,,
Cedrus,4242,Pinaceae,Cedrus,,
Osmunda regalis,4224,Osmundaceae,Osmunda,regalis,
Viscum,4224,Santalaceae,Viscum,,
Athyrium filix-femina,4210,Aspleniaceae,Athyrium,filix-femina,
Salix undiff.,4153,Salicaceae,Salix,,
Ostrya-type,4141,NA,NA,NA,
Weinmannia,4128,Cunoniaceae,Weinmannia,,
Sanguisorba officinalis,4078,Rosaceae,Sanguisorba,officinalis,
Poaceae (Cerealia) undiff.,4077,Poaceae,,,
Tsuga mertensiana,4062,Pinaceae,Tsuga,mertensiana,
Peucedanum-type,4061,NA,NA,NA,
Pseudotsuga,4058,Pinaceae,Pseudotsuga,,
Solanaceae,4035,Solanaceae,,,
Acer undiff.,4019,Sapindaceae,Acer,,
Carex-type,4015,NA,NA,NA,
Tsuga canadensis,4012,Pinaceae,Tsuga,canadensis,
Sorbus,3983,Rosaceae,Sorbus,,
Matricaria-type,3925,NA,NA,NA,
Juniperus/Thuja,3898,NA,NA,,
Sarcobatus,3891,Sarcobataceae,Sarcobatus,,
Myrsine,3815,Primulaceae,Myrsine,,
"Polypodiophyta (monolete, psilate)",3796,NA,NA,NA,
Acer saccharum-type,3784,Sapindaceae,Acer,,
Dodonaea,3777,Sapindaceae,Dodonaea,,
Pteridophyta (monolete),3774,NA,NA,NA,
Primulaceae,3758,Primulaceae,,,
Gentianaceae,3747,Gentianaceae,,,
Myrica gale,3682,Myricaceae,Myrica,gale,
Plantago alpina-type,3660,Plantaginaceae,Plantago,,
"Unknown (monolete, psilate)",3660,NA,NA,NA,
Faboideae,3651,NA,NA,NA,
Chaerophyllum hirsutum-type,3607,Apiaceae,Chaerophyllum,,
Alnus viridis subsp. crispa,3599,Betulaceae,Alnus,alnobetula,
Cecropia,3580,Urticaceae,Cecropia,,
Hydrocotyle,3530,Araliaceae,Hydrocotyle,,
Eucalyptus,3517,Myrtaceae,Eucalyptus,,
Rhamnaceae,3517,Rhamnaceae,,,
Indeterminable (broken),3510,NA,NA,NA,
Lycopodium-type,3481,NA,NA,NA,
Cyathea,3478,Cyatheaceae,Cyathea,,
Quercus cerris-type,3465,Fagaceae,Quercus,,
Melastomataceae,3443,Melastomataceae,,,
Populus tremuloides-type,3424,Salicaceae,Populus,,
Dinoflagellata,3419,NA,NA,NA,
Ranunculus sect. Batrachium,3411,NA,NA,NA,
Saxifraga oppositifolia-type,3354,Saxifragaceae,Saxifraga,,
Unknown/Indeterminable,3344,NA,NA,NA,
Juglans regia,3336,Juglandaceae,Juglans,regia,
Quercus undiff.,3333,Fagaceae,Quercus,,
Pinus banksiana-type,3331,Pinaceae,Pinus,,
Cirsium,3326,Asteraceae,Cirsium,,
Ustulina deusta,3319,NA,NA,NA,
Urtica-type,3258,NA,NA,NA,
Abies balsamea,3256,Pinaceae,Abies,balsamea,
Lycopodiaceae,3252,Lycopodiaceae,,,
Bryophyta,3250,,,,
Sanguisorba,3242,Rosaceae,Sanguisorba,,
Ostrya/Carpinus orientalis,3213,NA,NA,NA,
Lonicera,3192,Caprifoliaceae,Lonicera,,
Saxifraga,3172,Saxifragaceae,Saxifraga,,
Betula sect. Betula,3171,NA,NA,NA,
Author's pollen sum,3159,NA,NA,NA,
Euphorbiaceae,3156,Euphorbiaceae,,,
Lysimachia,3151,Primulaceae,Lysimachia,,
Sedum,3148,Crassulaceae,Sedum,,
Indeterminable (crumpled),3141,NA,NA,NA,
Tilia cordata-type,3141,Malvaceae,Tilia,,
Cladium mariscus,3127,Cyperaceae,Cladium,mariscus,
Pteris,3127,Pteridaceae,Pteris,,
Boraginaceae,3124,Boraginaceae,,,
Spirogyra,3112,NA,NA,NA,
Ericaceae-type,3110,NA,NA,NA,
Picea glauca,3096,Pinaceae,Picea,glauca,
Centaurea jacea-type,3085,Asteraceae,Centaurea,,
Hypericum perforatum-type,3084,Hypericaceae,Hypericum,,
Alisma,3074,Alismataceae,Alisma,,
Picea mariana-type,3049,NA,NA,NA,
Cornus,3048,Cornaceae,Cornus,,
Prunus,3037,Rosaceae,Prunus,,
Humulus lupulus,3025,Cannabaceae,Humulus,lupulus,
Lycopodiaceae undiff.,3011,Lycopodiaceae,,,
Trifolium-type,3005,NA,NA,NA,
Acacia,2994,Fabaceae,Acacia,,
Mercurialis annua,2979,Euphorbiaceae,Mercurialis,annua,
Eriogonum,2974,Polygonaceae,Eriogonum,,
Erica arborea-type,2966,Ericaceae,Erica,,
Lotus-type,2950,NA,NA,NA,
Indeterminable (degraded),2941,NA,NA,NA,
Brassicaceae undiff.,2939,Brassicaceae,,,
Mercurialis,2924,Euphorbiaceae,Mercurialis,,
Residue,2890,NA,NA,NA,
Rumex acetosa/R. acetosella-type,2876,Polygonaceae,Rumex,,
Pseudopediastrum integrum,2874,NA,NA,NA,
Cephalanthus,2856,Rubiaceae,Cephalanthus,,
Macaranga,2855,Euphorbiaceae,Macaranga,,
Betula pubescens,2854,Betulaceae,Betula,pubescens,
Shepherdia canadensis,2842,Elaeagnaceae,Shepherdia,canadensis,
"Unknown (trilete, psilate)",2835,NA,NA,NA,
Prunus-type,2831,NA,NA,NA,
Bistorta officinalis,2827,Polygonaceae,Persicaria,bistorta,
Rubus,2813,Rosaceae,Rubus,,
Juglans nigra,2808,Juglandaceae,Juglans,nigra,
Onagraceae,2785,Onagraceae,,,
Unknown (monolete) undiff.,2775,NA,NA,NA,
Trema,2771,Cannabaceae,Trema,,
Typha angustifolia-type,2762,Typhaceae,Typha,,
Plantago major/P. media-type,2759,Plantaginaceae,Plantago,,
Centaurea nigra-type,2757,Asteraceae,Centaurea,,
Daucus carota,2755,Apiaceae,Daucus,carota,
Cannabis sativa,2753,Cannabaceae,Cannabis,sativa,
Thelypteris palustris-type,2738,Thelypteridaceae,Thelypteris,,
Number of lines,2729,NA,NA,NA,
Solanum dulcamara,2727,Solanaceae,Solanum,dulcamara,
Pteridophyta,2723,NA,NA,NA,
Unknown (trilete) undiff.,2720,NA,NA,NA,
Utricularia,2704,Lentibulariaceae,Utricularia,,
Myriophyllum verticillatum,2683,Haloragaceae,Myriophyllum,verticillatum,
Pediastrum duplex,2663,NA,NA,NA,
Picea mariana,2658,Pinaceae,Picea,mariana,
Pinus contorta-type,2653,Pinaceae,Pinus,,
Alismataceae,2651,Alismataceae,,,
Corylus/Myrica,2649,NA,NA,,
Chenopodium-type,2636,NA,NA,NA,
Ophioglossum,2631,Ophioglossaceae,Ophioglossum,,
"Polypodiophyta (monolete, verrucate)",2627,NA,NA,NA,
Ligustrum,2620,Oleaceae,Ligustrum,,
Restionaceae,2610,Restionaceae,,,
Corylus-type,2597,NA,NA,NA,
Olea europaea,2596,Oleaceae,Olea,europaea,
Solidago-type,2589,NA,NA,NA,
Dryopteris filix-mas,2579,Dryopteridaceae,Dryopteris,filix-mas,
Quercus (evergreen),2577,Fagaceae,Quercus,,
Acer negundo,2574,Sapindaceae,Acer,negundo,
Succisa,2571,Caprifoliaceae,Succisa,,
Glomus,2568,NA,NA,NA,
Combretaceae,2562,Combretaceae,,,
Arceuthobium,2553,Santalaceae,Arceuthobium,,
Plantago coronopus-type,2550,Plantaginaceae,Plantago,,
Pterocarya,2548,Juglandaceae,Pterocarya,,
Isoëtes lacustris,2542,NA,NA,NA,
Selaginella rupestris,2532,Selaginellaceae,Selaginella,rupestris,
Rumex acetosa/R. acetosella,2530,Polygonaceae,Rumex,,
Avena-type,2522,NA,NA,NA,
Malvaceae,2517,Malvaceae,,,
Centaurea solstitialis-type,2510,Asteraceae,Centaurea,,
Frangula,2501,Rhamnaceae,Frangula,,
Anemone-type,2500,NA,NA,NA,
Plantago maritima,2488,Plantaginaceae,Plantago,maritima,
Valerianoideae,2470,NA,NA,NA,
Heracleum,2466,Apiaceae,Heracleum,,
Combretaceae/Melastomataceae,2444,NA,,,
Senecio,2419,Asteraceae,Senecio,,
Tamarix,2406,Tamaricaceae,Tamarix,,
Rhus,2383,Anacardiaceae,Rhus,,
Genista-type,2369,NA,NA,NA,
Humulus/Cannabis-type,2368,Cannabaceae,Humulus,,
Armeria,2362,Plumbaginaceae,Armeria,,
Sambucus nigra,2362,Viburnaceae,Sambucus,nigra,
Cannabaceae,2348,Cannabaceae,,,
Cerastium-type,2333,NA,NA,NA,
Bidens-type,2330,NA,NA,NA,
Ephedra distachya,2328,Ephedraceae,Ephedra,distachya,
Brasenia schreberi,2310,Cabombaceae,Brasenia,schreberi,
Dryopteris/Thelypteris,2309,NA,NA,,
Ficus,2309,Moraceae,Ficus,,
Betula sect. Apterocaryon,2288,Betulaceae,Betula,,
Trifolium repens-type,2288,Fabaceae,Trifolium,,
Alnus viridis subsp. fruticosa,2279,Betulaceae,Alnus,alnobetula,
Rubus chamaemorus,2278,Rosaceae,Rubus,chamaemorus,
Rapanea,2274,Primulaceae,Myrsine,,
Polygonaceae undiff.,2270,Polygonaceae,,,
Arecaceae,2269,Arecaceae,,,
Geraniaceae,2254,Geraniaceae,,,
Scabiosa,2240,Caprifoliaceae,Scabiosa,,
Tetraëdron,2237,NA,NA,NA,
Rhizophora,2234,Rhizophoraceae,Rhizophora,,
Cistus,2213,Cistaceae,Cistus,,
Chenopodium,2210,Amaranthaceae,Chenopodium,,
Urtica dioica,2203,Urticaceae,Urtica,dioica,
Fraxinus americana,2196,Oleaceae,Fraxinus,americana,
Quercus pubescens-type,2194,Fagaceae,Quercus,,
Urtica dioica-type,2178,Urticaceae,Urtica,,
Alnus glutinosa/A. incana,2175,Betulaceae,Alnus,,
Alchemilla,2172,Rosaceae,Alchemilla,,
Spermatophyta undiff. (aquatics),2169,NA,NA,NA,
Tilletia sphagni,2167,NA,NA,NA,
Iva annua-type,2164,NA,NA,NA,
Plantago major-type,2144,Plantaginaceae,Plantago,,
Sedum-type,2133,NA,NA,NA,
Cannabis-type,2124,NA,NA,NA,
Fungi undiff.,2116,NA,NA,NA,
Oxyria digyna,2116,Polygonaceae,Oxyria,digyna,
Gentiana,2107,Gentianaceae,Gentiana,,
Ilex aquifolium,2102,Aquifoliaceae,Ilex,aquifolium,
Sinapis-type,2101,NA,NA,NA,
Plantago coronopus,2091,Plantaginaceae,Plantago,coronopus,
Pinus pinaster,2083,Pinaceae,Pinus,pinaster,
Fraxinus (tricolpate),2080,Oleaceae,Fraxinus,,
Ulmus/Zelkova,2075,Ulmaceae,NA,,
Sambucus nigra-type,2072,Viburnaceae,Sambucus,,
Pteridophyta undiff.,2057,NA,NA,NA,
Fagopyrum,2052,Polygonaceae,Fagopyrum,,
Corylus avellana-type,2050,Betulaceae,Corylus,,
Sanguisorba minor-type,2047,Rosaceae,Sanguisorba,,
Asphodelus,2042,Asphodelaceae,Asphodelus,,
Zygnemataceae,2039,NA,NA,NA,
Athyrium,2038,Athyriaceae,Athyrium,,
Larix/Pseudotsuga,2033,Pinaceae,NA,,
Anthemideae,2020,,,,
Lycopodium annotinum-type,2019,Lycopodiaceae,Lycopodium,,
Pinus subg. Pinus-type,2014,Pinaceae,Pinus,,
Myriophyllum spicatum/M. verticillatum,2012,Haloragaceae,Myriophyllum,,
Plantago maritima-type,2001,Plantaginaceae,Plantago,,
Cyatheaceae,1988,Cyatheaceae,,,
Quercus coccifera,1988,Fagaceae,Quercus,coccifera,
Rhinanthus-type,1987,NA,NA,NA,
Callitriche,1986,Plantaginaceae,Callitriche,,
Xanthium,1984,Asteraceae,Xanthium,,
Piper,1973,Piperaceae,Piper,,
Isoëtes echinospora,1972,NA,NA,NA,
Rutaceae,1970,Rutaceae,,,
Moraceae,1967,Moraceae,,,
Persicaria maculosa-type,1967,Polygonaceae,Persicaria,,
Persicaria maculosa,1963,Polygonaceae,Persicaria,maculosa,
Empetrum nigrum,1942,Ericaceae,Empetrum,nigrum,
Solanum,1942,Solanaceae,Solanum,,
Fraxinus pennsylvanica/F. americana-type,1940,Oleaceae,Fraxinus,,
Caltha,1937,Ranunculaceae,Caltha,,
Carduus-type,1934,NA,NA,NA,
Rumex obtusifolius-type,1929,Polygonaceae,Rumex,,
Diphasiastrum complanatum,1921,Lycopodiaceae,Lycopodium,complanatum,
Poaceae (Cerealia-type) undiff.,1918,Poaceae,,,
Stachys-type,1912,NA,NA,NA,
Foraminifera,1901,NA,NA,NA,
Betula/Corylus/Myrica,1900,NA,NA,,
Rumex alpinus,1891,Polygonaceae,Rumex,alpinus,
Betula pendula subsp. mandshurica,1879,Betulaceae,Betula,,
Poaceae (<40 µm),1878,Poaceae,,,
Triticum,1865,Poaceae,Triticum,,
Quercus (deciduous-type),1860,Fagaceae,Quercus,,
Ranunculus sect. Batrachium-type,1854,Ranunculaceae,Ranunculus,,
Allium-type,1844,NA,NA,NA,
Quercus robur,1844,Fagaceae,Quercus,robur,
Anemone nemorosa-type,1822,Ranunculaceae,Anemone,,
Cistaceae,1819,Cistaceae,,,
Ceratophyllum,1810,Ceratophyllaceae,Ceratophyllum,,
Fraxinus pennsylvanica,1809,Oleaceae,Fraxinus,pennsylvanica,
